Household No.,DIS,Relationship,Gender,Age,Marital status,Educational Level,Ethnicity,Employment status,Employment_sector,Income PP,Income FP,Income SP,Income TP,neighborhood_shop,main_super_market,mini_super_market,home_delivery,own_field,govt_ngo,online,neighbors,fairs,bank_city,bank_near,local_financial,atm_city,atm_near,online_banking,post_office,work_from_home,come_from_home,come_from_renthouse,come_from_commonhostel,work_public,work_shared,work_hired,work_own_motor,work_bicycle,work_walking
670,Gampaha,1,2,4,2,4,1,10,9,3,2,2,2,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
671,Kandy,1,2,3,2,1,1,7,0,2,1,1,1,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
672,Kandy,1,2,2,2,1,2,6,0,1,1,1,1,-2.5,1.0,1.0,-0.5,-2.5,1.0,0.5,-0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
674,Colombo,4,1,5,3,4,1,6,0,3,3,3,3,-3.0,5.0,1.0,0.0,0.5,1.0,1.0,-0.5,1.0,2.0,1.0,1.0,-1.0,1.0,-0.5,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
675,Colombo,1,2,3,2,4,1,10,10,3,1,1,2,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
677,Nuwera Eliya,2,1,2,2,4,2,5,0,2,1,1,1,3.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,4.5,1.0,3.5,1.0,1.0,1.0,1.0,1.5
678,Kandy,1,1,5,2,4,2,10,10,1,1,1,1,-0.5,1.0,1.0,-2.5,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.5,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
680,Puttalam,1,2,3,2,4,1,3,9,3,1,2,3,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5,2.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
682,Colombo,4,1,5,3,3,2,6,0,2,1,1,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,4.5,1.0
683,Colombo,1,2,2,2,4,2,10,3,1,1,1,1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
684,Colombo,1,2,4,2,4,1,3,10,3,3,3,3,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5
686,Colombo,1,2,5,2,4,2,6,0,2,1,1,2,2.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
687,Colombo,2,1,5,2,3,2,10,3,1,1,1,1,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.5
688,Colombo,2,1,1,2,4,2,6,0,2,2,2,2,2.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
689,Colombo,1,2,3,2,4,1,3,3,3,2,2,1,-2.0,1.0,1.0,0.5,1.0,2.5,1.0,1.0,4.0,4.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-0.5,1.0,1.0,1.0
690,Puttalam,1,2,4,2,4,1,1,4,5,1,5,5,0.5,5.0,1.0,4.0,1.0,1.0,-1.5,-0.5,1.0,1.0,1.0,1.0,-2.0,1.0,-2.5,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
691,Puttalam,1,2,5,2,4,1,8,6,3,2,2,2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
692,Kandy,3,1,1,1,4,3,6,0,3,2,1,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.5,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
693,Kandy,2,1,3,2,4,3,6,0,2,1,1,1,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
694,Kandy,1,2,2,2,4,3,3,10,3,1,1,1,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.0,1.5,1.5,1.0,1.0,1.0,3.5,1.0,1.0,3.5,1.0,1.0,1.0,1.0,1.0
696,Kandy,1,2,1,2,4,2,3,3,2,1,2,2,1.5,2.0,2.0,2.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5
697,Galle,1,2,4,2,4,3,3,4,2,1,1,1,-1.0,1.0,1.0,-0.5,1.0,2.0,1.0,-0.5,1.0,2.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
698,Galle,1,2,2,2,4,3,9,10,3,1,1,2,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.5
699,Galle,1,2,2,2,5,3,7,10,3,1,1,2,-0.5,0.5,1.0,1.0,1.0,0.5,0.5,-0.5,1.0,0.5,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
700,Galle,1,2,3,2,3,3,10,10,3,1,1,1,-1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-0.5,1.0,0.5,0.5
701,Puttalam,1,2,3,2,4,1,8,6,3,3,3,3,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
702,Galle,1,2,3,2,4,1,3,10,3,2,2,3,0.5,3.5,0.5,-1.5,1.0,0.5,1.0,-0.5,1.0,-1.0,1.0,0.5,-0.5,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
703,Gampaha,1,2,4,2,4,3,1,4,2,1,1,1,0.5,2.5,-0.5,-3.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,2.5,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
705,Galle,1,2,2,2,4,1,10,10,3,2,2,3,-1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,-0.5,1.0,1.0,0.5,1.0,-1.0,1.0,1.0,1.0,1.0,0.5,-1.0,1.0,0.5
706,Galle,1,2,3,2,4,1,3,4,3,3,3,3,-2.0,1.0,1.0,-0.5,1.0,4.0,1.0,0.5,4.0,2.0,1.0,1.0,0.5,-0.5,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
707,Galle,1,2,4,2,4,1,3,6,3,2,2,2,-1.5,1.0,0.5,0.0,-0.5,0.5,1.0,-0.5,1.0,-1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
