Household No.,DIS,Relationship,Gender,Age,Marital status,Educational Level,Ethnicity,Employment status,Employment_sector,Income PP,Income FP,Income SP,Income TP,neighborhood_shop,main_super_market,mini_super_market,home_delivery,own_field,govt_ngo,online,neighbors,fairs,bank_city,bank_near,local_financial,atm_city,atm_near,online_banking,post_office,work_from_home,come_from_home,come_from_renthouse,come_from_commonhostel,work_public,work_shared,work_hired,work_own_motor,work_bicycle,work_walking
1,Gampaha,1,2,3,2,4,1,3,10,1,1,1,1,5.0,1.0,1.0,1.0,-0.5,1.0,1.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
3,Kandy,2,1,3,2,5,3,3,3,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.5,1.0,3.5,2.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,Gampaha,1,2,4,2,4,1,3,4,3,2,2,2,-0.5,1.5,1.5,-2.5,1.0,2.5,0.5,-0.5,4.5,3.5,2.0,1.0,3.5,3.5,1.0,4.0,1.0,3.5,-3.5,1.0,2.0,-0.5,0.5,2.5,1.0,1.0
5,Gampaha,1,2,3,2,5,1,1,6,5,5,5,5,-0.5,3.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,3.5,0.5,1.0,-0.5,-2.0,-3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0
6,Gampaha,1,2,4,2,4,1,7,10,3,2,2,2,-1.0,1.0,1.0,1.0,1.0,0.0,1.0,-2.5,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,Kandy,1,1,2,3,4,1,6,0,3,1,1,1,-1.5,3.5,1.0,-2.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,4.0,-5.0,0.5,1.0,5.0,1.0,1.0,1.0,0.5,1.0,-3.0,1.0,1.0
8,Kandy,1,2,5,2,4,1,8,10,3,3,1,2,-2.5,1.0,1.0,-1.0,-2.5,4.0,1.0,1.0,1.0,3.0,1.0,-0.5,1.0,1.0,2.0,2.0,-3.5,-1.0,-1.0,1.0,1.0,-0.5,1.0,-1.0,1.0,1.0
9,Gampaha,1,2,1,2,4,1,3,10,2,1,1,1,0.5,2.0,2.0,-0.5,1.0,2.0,1.0,-2.5,2.0,2.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
11,Kandy,1,2,4,2,5,1,3,10,3,3,3,3,-1.5,1.0,1.0,-2.5,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0
13,Gampaha,1,2,2,2,4,1,10,10,3,1,1,1,-0.5,1.0,1.0,-1.5,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,-1.5,-3.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,Gampaha,1,2,4,2,4,1,4,4,2,2,2,2,-2.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,Gampaha,1,2,6,2,5,1,1,5,1,5,5,5,-4.0,2.0,1.0,-0.5,-0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.5,2.5,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0
18,Gampaha,1,2,4,2,5,1,5,10,3,2,2,2,0.5,4.0,1.5,-5.0,0.5,0.5,0.0,1.0,4.0,2.0,1.0,1.0,2.5,1.0,1.0,1.0,-2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,Matale,2,1,5,3,7,3,10,10,3,3,3,3,4.0,3.0,-0.5,-3.5,3.0,1.0,-2.5,1.0,3.5,3.5,3.0,1.0,3.0,0.5,-1.5,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,Kandy,1,1,2,2,4,3,6,0,1,3,3,3,-0.5,-0.5,1.0,0.0,1.0,1.0,1.0,1.0,3.5,1.5,-1.0,1.0,2.5,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,Gampaha,1,2,3,2,4,5,1,9,2,1,1,1,-0.5,2.0,2.0,-0.5,1.0,1.0,1.0,-0.5,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,1.0,1.5,-0.5,1.0,1.0
23,Gampaha,2,1,2,2,6,1,10,8,3,3,3,3,1.0,1.0,1.0,-3.5,1.0,-1.0,1.0,1.0,2.0,3.5,1.0,1.0,-2.5,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
24,Kandy,1,2,4,2,5,1,10,10,1,1,1,1,5.0,1.0,1.0,-0.5,0.5,1.0,-0.5,1.0,1.0,5.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,Gampaha,1,2,2,2,4,1,3,10,3,3,3,3,2.0,2.0,-1.0,1.0,-2.5,1.0,1.0,-0.5,1.0,5.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,-3.5,-0.5,1.0,1.0
26,Kandy,1,2,4,2,5,1,6,0,2,2,2,2,-0.5,1.0,1.0,1.0,-0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-3.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0
27,Gampaha,1,2,3,2,4,5,1,7,2,2,2,2,0.5,2.0,2.0,-3.5,1.0,-0.5,1.0,0.5,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,Gampaha,1,1,3,1,5,1,6,0,2,1,1,1,-0.5,2.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,2.5,0.5,1.0,-2.5,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,Kandy,1,1,4,2,4,2,6,0,3,1,1,1,3.5,1.0,1.0,-2.5,1.0,1.0,3.5,1.0,3.5,1.5,3.5,1.0,3.5,3.5,1.0,1.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,Kandy,1,1,5,3,4,1,6,0,2,1,1,2,-2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,2.5,1.0,1.0,0.5,-1.0,1.0,1.0,1.0,-0.5,1.0,1.0,1.5,1.0,-0.5,1.0,1.0,3.0
33,Gampaha,1,1,6,1,7,1,8,2,5,5,5,5,2.5,4.0,2.0,-2.5,-0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-4.0,2.0,1.0,1.0,2.0,2.0,1.0,-4.0,1.0,1.0
34,Kandy,1,2,2,2,4,1,3,10,2,1,1,1,0.5,1.0,1.0,-1.0,-2.5,2.5,1.0,1.0,1.0,3.5,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,Puttalam,2,1,2,2,4,1,3,8,2,1,1,2,-5.0,5.0,1.0,-3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.5,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
36,Kandy,1,2,6,2,4,3,3,1,2,2,2,2,1.0,1.0,-0.5,0.5,1.0,1.0,1.5,1.0,1.0,2.0,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,Gampaha,1,2,3,2,4,1,10,10,2,1,1,1,2.5,1.0,1.0,-0.5,1.5,1.0,1.0,2.0,3.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,Matale,2,1,2,2,6,3,6,0,2,1,1,2,3.5,0.0,3.0,1.0,0.5,1.5,1.0,0.5,3.0,1.0,1.0,1.5,1.5,1.0,1.0,1.5,1.0,2.5,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
39,Matale,1,2,2,2,4,2,10,10,2,1,1,2,2.0,3.5,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,Kandy,1,2,5,2,5,1,10,10,3,2,2,2,-2.0,1.0,1.0,-1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.5,1.0,-4.5,-1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
41,Kandy,1,2,4,2,3,1,10,3,2,3,3,2,-0.5,1.0,1.0,-1.5,1.0,1.0,1.0,0.5,3.5,2.5,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
42,Gampaha,1,2,3,2,4,1,10,10,3,1,1,1,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,3.5,3.5,2.0,1.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,Gampaha,1,2,3,2,5,1,1,7,5,5,5,5,-0.5,5.0,2.0,-3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-3.5,5.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
45,Gampaha,1,2,4,2,5,1,7,10,3,2,2,1,-0.5,2.0,1.0,-0.5,1.0,-0.5,1.0,0.5,4.0,0.5,1.0,1.0,2.0,2.0,1.0,2.0,2.5,-2.0,1.0,1.0,1.0,1.0,-0.5,1.0,-0.5,-0.5
46,Gampaha,1,2,3,2,5,1,3,3,3,1,1,1,-1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,-1.0,-0.5,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0
47,Gampaha,1,2,3,2,4,1,1,10,3,2,2,2,-1.0,2.0,2.5,-3.5,-0.5,0.5,1.0,-0.5,1.0,-0.5,1.0,-0.5,-1.0,-1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,Gampaha,2,1,4,2,5,3,6,0,2,2,2,2,2.0,-2.0,3.0,1.0,-0.5,1.0,1.0,0.5,-0.5,2.5,1.0,0.5,3.5,0.5,0.5,0.5,-1.0,-2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,Gampaha,1,2,2,2,4,1,10,3,3,1,3,3,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
51,Gampaha,1,2,3,2,3,1,9,10,2,1,1,1,-1.0,2.0,1.0,-2.0,-2.0,1.0,1.0,-0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0
52,Gampaha,1,1,4,3,3,1,3,4,3,1,1,3,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,Kandy,1,2,4,2,4,1,10,10,2,1,1,1,-5.0,-3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,-1.0,1.0,1.0,0.5,0.5,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,Gampaha,1,2,3,2,4,1,1,10,3,3,3,3,0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,-1.0,0.5,-1.0,-1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,Gampaha,2,1,2,2,5,1,6,0,2,1,1,2,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,-0.5,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,Kandy,1,2,3,2,4,3,10,10,2,2,2,2,3.0,1.5,1.0,1.5,0.5,-0.5,1.0,-1.5,2.5,1.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,Kandy,1,2,2,2,4,2,9,3,2,1,1,2,3.5,4.0,4.0,-1.5,1.0,2.0,1.0,1.0,3.5,2.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,Gampaha,1,2,3,2,4,1,3,10,3,1,1,2,0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,-1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0
59,Kandy,1,1,4,2,4,3,7,0,3,2,2,2,3.0,1.0,1.5,2.0,1.0,2.0,1.0,0.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,Kandy,2,1,5,2,4,3,3,10,2,1,1,1,3.0,2.0,1.0,1.0,1.0,1.5,1.0,0.5,2.0,2.0,1.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,Kandy,1,2,5,2,1,2,9,9,3,1,1,2,1.5,1.5,1.5,-2.5,1.0,2.0,1.0,1.0,1.5,1.5,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,Kandy,1,2,4,2,7,1,1,1,5,5,5,5,2.0,1.0,3.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-0.5,1.0,-2.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
63,Gampaha,1,2,3,2,5,2,3,3,3,1,2,3,2.5,4.0,3.0,0.0,2.0,1.5,1.0,0.5,1.5,1.5,3.0,1.0,1.0,4.0,1.0,1.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,Kandy,1,1,5,1,8,1,8,2,3,3,3,3,1.0,1.5,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,Kandy,1,2,4,2,4,1,7,3,2,1,1,2,0.5,1.0,1.0,-3.0,1.0,-0.5,1.0,1.0,1.0,3.5,1.0,1.0,0.5,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,Kandy,1,2,4,2,7,1,1,2,5,5,5,5,2.5,1.0,1.0,-0.5,-2.5,1.0,-2.5,1.0,1.0,2.5,1.0,2.0,-2.0,1.0,-1.5,1.0,-2.0,3.5,1.0,1.0,2.5,1.0,1.0,4.0,1.0,1.0
68,Gampaha,1,2,5,2,4,2,9,10,2,2,2,2,-1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,-0.5,-0.5,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,Gampaha,1,2,4,2,4,1,1,10,3,3,3,3,-0.5,4.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,-1.0,-1.0,2.0,-0.5,1.0,-1.0,1.0,1.0,1.0,2.5,1.0,-1.0,1.0,1.0
70,Colombo,1,2,4,2,4,3,10,8,2,1,1,1,3.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
71,Gampaha,1,2,2,2,5,1,3,10,3,3,3,3,-0.5,-1.0,1.0,-2.5,1.0,1.0,-0.5,2.5,1.0,1.0,1.0,1.0,-0.5,-1.0,-1.0,1.0,-3.5,0.5,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
72,Gampaha,3,2,1,1,4,2,7,0,2,1,1,2,-1.0,1.0,1.0,-3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
73,Gampaha,1,2,3,2,4,1,3,10,1,1,1,1,-1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
74,Gampaha,1,2,2,2,4,2,3,10,2,1,2,2,-1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,0.5
77,Gampaha,1,2,4,2,4,1,8,10,3,3,3,3,0.5,2.0,1.0,-2.5,1.0,1.0,-0.5,-2.5,1.0,-1.0,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,3.5,1.0,1.0,1.0,2.5,2.5,1.0,1.0,0.5
78,Kandy,1,2,5,2,4,1,3,4,2,2,1,1,1.0,1.0,-0.5,-1.5,1.0,1.0,0.5,-1.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,Gampaha,1,2,4,2,4,2,2,10,3,2,2,2,-1.0,1.0,1.0,-0.5,1.0,2.0,1.0,-2.5,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,-1.0,1.0,1.0,4.0,1.0,1.0,-0.5,1.0,1.0
82,Gampaha,3,2,1,2,4,2,1,10,3,3,3,3,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-5.0,1.0,1.0,1.0
83,Kandy,1,2,3,2,4,1,3,3,2,2,1,1,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,-2.5,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85,Gampaha,1,2,2,2,4,1,9,10,2,1,1,2,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
86,Kandy,1,2,5,2,5,3,8,10,3,2,2,2,-1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87,Matale,3,2,1,2,4,3,9,10,2,2,1,1,4.0,2.0,2.0,-0.5,1.0,1.0,0.5,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,Kandy,1,1,4,2,3,2,8,8,3,2,2,2,0.5,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0,1.5,1.0,0.5,1.0,1.0,1.0
89,Gampaha,1,2,4,2,4,1,3,10,2,2,2,2,1.0,0.5,0.5,1.0,-0.5,1.0,1.0,0.5,1.0,-1.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
91,Kandy,1,2,2,2,4,1,10,3,3,1,1,1,0.0,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,-2.5,1.0,1.0,2.5,1.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,Gampaha,1,2,2,2,4,1,3,10,3,3,3,3,0.5,0.5,2.0,-2.0,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.5,-3.0,4.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
94,Gampaha,1,2,2,2,4,1,1,6,1,1,1,1,-0.5,1.0,-1.0,0.5,-4.0,1.0,1.0,-0.5,1.0,1.0,1.0,-0.5,-1.0,1.0,1.0,-0.5,1.0,2.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0
95,Gampaha,1,2,3,2,4,1,10,10,3,2,2,2,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-0.5,0.5,1.0,1.0,-1.0,1.0,1.0,1.0,0.5,-0.5,3.5,1.0,1.0,1.0,1.0,0.5,-1.0,1.0,1.0
96,Gampaha,1,2,3,2,4,1,10,10,3,1,1,3,-1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
97,Gampaha,1,2,5,2,5,1,8,4,3,2,1,2,0.5,-1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
98,Matale,1,2,3,2,1,2,9,10,2,1,1,2,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.5,3.5,1.5,1.5,3.0,1.0,1.0,1.0,1.5,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0
99,Gampaha,1,2,2,2,4,2,3,9,2,1,2,1,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,-1.0,-0.5,1.0,1.0,1.0,-1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
100,Kandy,1,2,4,2,5,1,1,2,3,3,3,3,-1.0,0.5,1.0,-1.5,1.0,1.0,0.5,1.0,4.0,2.5,1.0,1.0,0.5,3.5,-2.5,1.0,-2.5,5.0,1.0,1.0,2.0,1.0,2.0,-1.0,1.0,1.0
101,Gampaha,1,2,4,2,4,3,10,10,5,2,2,2,-1.0,1.0,1.0,-3.5,1.0,1.0,-1.0,-0.5,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,1.0,-1.0,-1.0,1.0
102,Gampaha,1,2,3,2,4,2,1,10,3,2,2,3,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0
104,Kandy,3,1,2,2,4,2,6,0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5
105,Colombo,1,2,2,2,4,3,1,2,4,4,4,4,2.0,2.0,2.0,0.5,0.5,1.5,0.5,1.0,1.0,0.5,2.5,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
106,Colombo,2,1,5,2,4,3,6,0,3,2,2,3,1.5,0.5,0.5,-0.5,2.5,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
107,Kandy,1,2,4,2,4,1,6,0,5,5,5,5,3.5,1.0,1.0,-2.0,-2.5,2.0,1.0,1.0,2.0,2.5,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-3.0,2.5,1.0,1.0,1.0
108,Gampaha,1,1,3,3,5,1,7,0,3,1,1,1,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109,Matale,2,1,2,4,4,2,10,3,1,1,1,1,0.0,1.5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5
110,Kandy,1,2,3,2,7,1,1,1,5,5,5,5,1.5,-2.0,2.0,0.5,2.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,0.5,-2.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
111,Kandy,1,2,5,2,4,1,10,10,2,1,1,1,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
112,Gampaha,3,2,2,2,4,2,3,10,3,2,2,1,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0
113,Kandy,1,1,4,2,7,1,8,10,3,3,3,3,2.0,2.0,1.5,-0.5,1.0,1.0,-4.0,1.0,1.0,1.5,1.0,1.0,0.5,0.5,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115,Kandy,1,2,2,2,4,1,7,10,3,1,1,1,0.5,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,-4.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
116,Kandy,1,1,3,2,4,1,7,3,3,2,2,2,0.5,1.0,-0.5,-3.5,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.5,1.0,1.0,0.5,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
118,Gampaha,1,2,3,2,3,1,9,10,2,1,1,1,-1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.5,1.0,2.0,1.0,-1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,0.5
119,Kandy,1,2,4,2,7,1,3,4,1,1,1,1,2.0,4.0,1.0,1.0,1.0,1.0,-4.0,1.0,1.0,2.0,1.0,1.0,2.5,0.5,-4.0,1.0,-4.0,4.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,1.0
120,Colombo,2,1,3,2,4,1,8,10,4,1,1,1,3.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
